dataset,model,protocol,fold_id,protocol_tag,train_subjects,val_subjects,test_subjects,n_train,n_val,n_test,best_epoch,best_val_loss,main_metric,main_value,accuracy,balanced_accuracy,precision,recall,f1,kappa,auc
p300,eegnet_ms_se,within,1,within_sub26_fold1,[26],[26],[26],900,450,450,11,0.7853281418482463,auc,0.6052622222222221,0.5955555555555555,0.5866666666666667,0.22279792746113988,0.5733333333333334,0.3208955223880597,0.1063829787234043,0.6052622222222221
p300,eegnet_ms_se,within,2,within_sub26_fold2,[26],[26],[26],900,450,450,71,0.6756054878234863,auc,0.7013688888888889,0.7088888888888889,0.6439999999999999,0.2971014492753623,0.5466666666666666,0.38497652582159625,0.21556886227544914,0.7013688888888889
p300,eegnet_ms_se,within,3,within_sub26_fold3,[26],[26],[26],900,450,450,109,0.6341698507467906,auc,0.6609066666666668,0.7111111111111111,0.6026666666666667,0.2727272727272727,0.44,0.33673469387755106,0.16488222698072796,0.6609066666666668
p300,eegnet_ms_se,within,0,within_sub27_fold0,[27],[27],[27],900,450,450,87,0.5504752218723297,auc,0.7493688888888889,0.6933333333333334,0.6986666666666667,0.3136094674556213,0.7066666666666667,0.43442622950819676,0.2646536412078153,0.7493688888888889
p300,eegnet_ms_se,within,1,within_sub27_fold1,[27],[27],[27],900,450,450,43,0.6072880804538727,auc,0.7294577777777778,0.7222222222222222,0.6626666666666667,0.3161764705882353,0.5733333333333334,0.4075829383886256,0.24547283702213274,0.7294577777777778
p300,eegnet_ms_se,within,2,within_sub27_fold2,[27],[27],[27],900,450,450,23,0.6202279845873515,auc,0.6987852213916044,0.6911111111111111,0.6360695802185163,0.2789115646258503,0.5540540540540541,0.3710407239819004,0.19491852652714492,0.6987852213916044
p300,eegnet_ms_se,within,3,within_sub27_fold3,[27],[27],[27],900,450,450,69,0.6194548269112905,auc,0.6707711792851112,0.6622222222222223,0.6238038277511961,0.2654320987654321,0.5657894736842105,0.3613445378151261,0.17066783064164104,0.6707711792851112
p300,eegnet_ms_se,within,0,within_sub28_fold0,[28],[28],[28],900,450,450,100,0.4498450646797816,auc,0.8221866666666667,0.7933333333333333,0.764,0.42857142857142855,0.72,0.5373134328358209,0.41509433962264153,0.8221866666666667
p300,eegnet_ms_se,within,1,within_sub28_fold1,[28],[28],[28],900,450,450,79,0.581381893157959,auc,0.8078222222222222,0.7555555555555555,0.736,0.375886524822695,0.7066666666666667,0.49074074074074076,0.34911242603550297,0.8078222222222222
p300,eegnet_ms_se,within,2,within_sub28_fold2,[28],[28],[28],900,450,450,44,0.597707579533259,auc,0.7853926259499016,0.7444444444444445,0.7152054601745004,0.3617021276595745,0.6710526315789473,0.47004608294930883,0.32102652916633867,0.7853926259499016
p300,eegnet_ms_se,within,3,within_sub28_fold3,[28],[28],[28],900,450,450,50,0.5940100729465485,auc,0.7845744680851064,0.7577777777777778,0.730232892466935,0.3722627737226277,0.6891891891891891,0.4834123222748815,0.34314486970029734,0.7845744680851064
p300,eegnet_ms_se,within,0,within_sub29_fold0,[29],[29],[29],900,450,450,73,0.5457874278227488,auc,0.7531377777777778,0.7377777777777778,0.6826666666666666,0.3383458646616541,0.6,0.4326923076923077,0.2790224032586558,0.7531377777777778
p300,eegnet_ms_se,within,1,within_sub29_fold1,[29],[29],[29],900,450,450,116,0.5395381887753804,auc,0.7938488888888888,0.7977777777777778,0.7293333333333334,0.42727272727272725,0.6266666666666667,0.5081081081081081,0.3865168539325843,0.7938488888888888
p300,eegnet_ms_se,within,2,within_sub29_fold2,[29],[29],[29],900,450,450,14,0.6230289022127787,auc,0.757583381253594,0.7022222222222222,0.691561242093157,0.3125,0.6756756756756757,0.42735042735042733,0.2612104876255821,0.757583381253594
p300,eegnet_ms_se,within,3,within_sub29_fold3,[29],[29],[29],900,450,450,78,0.5011257857084275,auc,0.7095060512243174,0.7288888888888889,0.6586687306501549,0.3230769230769231,0.5526315789473685,0.4077669902912622,0.24732656978338363,0.7095060512243174
p300,eegnet_ms_se,within,0,within_sub30_fold0,[30],[30],[30],900,450,450,20,0.6742729942003886,auc,0.6216533333333333,0.6711111111111111,0.5893333333333333,0.24475524475524477,0.4666666666666667,0.3211009174311927,0.13111545988258322,0.6216533333333333
p300,eegnet_ms_se,within,1,within_sub30_fold1,[30],[30],[30],900,450,450,41,0.6407343725363414,auc,0.6987733333333332,0.66,0.668,0.2833333333333333,0.68,0.4,0.2153846153846154,0.6987733333333332
p300,eegnet_ms_se,within,2,within_sub30_fold2,[30],[30],[30],900,450,450,10,0.688690721988678,auc,0.5496763298620884,0.62,0.5407402195327892,0.20125786163522014,0.42105263157894735,0.27234042553191495,0.05677723027138348,0.5496763298620884
p300,eegnet_ms_se,within,3,within_sub30_fold3,[30],[30],[30],900,450,450,30,0.6257699052492778,auc,0.5544853364002299,0.62,0.5392466935020126,0.1949685534591195,0.4189189189189189,0.26609442060085836,0.053715044639563114,0.5544853364002299
p300,eegnet_ms_se,within,0,within_sub31_fold0,[31],[31],[31],900,450,450,24,0.5582887093226115,auc,0.7736533333333334,0.7133333333333334,0.6733333333333333,0.3150684931506849,0.6133333333333333,0.416289592760181,0.25145067698259194,0.7736533333333334
p300,eegnet_ms_se,within,1,within_sub31_fold1,[31],[31],[31],900,450,450,19,0.5830259596308073,auc,0.752,0.7311111111111112,0.7,0.3402777777777778,0.6533333333333333,0.4474885844748859,0.29239766081871343,0.752
p300,eegnet_ms_se,within,2,within_sub31_fold2,[31],[31],[31],900,450,450,12,0.6167162517706554,auc,0.7334044444444445,0.6688888888888889,0.6733333333333333,0.2897727272727273,0.68,0.4063745019920319,0.22530329289428064,0.7334044444444445
