subject,fold,train_runs,val_run,test_run,val_auc,test_auc
47,3,1 2,0,3,0.904896,0.928336
48,0,2 3,1,0,0.870297,0.887519
48,1,0 3,2,1,0.870426,0.875004
48,2,0 1,3,2,0.864939,0.872048
48,3,1 2,0,3,0.906977,0.854070
49,0,2 3,1,0,0.864528,0.879816
49,1,0 3,2,1,0.877751,0.848735
49,2,0 1,3,2,0.894290,0.883878
49,3,1 2,0,3,0.869739,0.888190
50,0,2 3,1,0,0.882875,0.894732
50,1,0 3,2,1,0.838635,0.876229
50,2,0 1,3,2,0.925592,0.840614
50,3,1 2,0,3,0.897503,0.924052
51,0,2 3,1,0,0.869873,0.874528
51,1,0 3,2,1,0.814762,0.845918
51,2,0 1,3,2,0.848880,0.829592
51,3,1 2,0,3,0.857576,0.820129
52,0,2 3,1,0,0.893048,0.901537
52,1,0 3,2,1,0.848655,0.876646
52,2,0 1,3,2,0.894506,0.851531
52,3,1 2,0,3,0.921086,0.913392
53,0,2 3,1,0,0.869181,0.867048
53,1,0 3,2,1,0.887329,0.882451
53,2,0 1,3,2,0.840138,0.879363
53,3,1 2,0,3,0.878107,0.850823
54,0,2 3,1,0,0.705258,0.729930
54,1,0 3,2,1,0.759601,0.745830
54,2,0 1,3,2,0.776220,0.754903
54,3,1 2,0,3,0.777710,0.751157
55,0,2 3,1,0,0.847943,0.850027
55,1,0 3,2,1,0.825209,0.846193
55,2,0 1,3,2,0.830637,0.841274
55,3,1 2,0,3,0.836982,0.843356
